epoch,train_loss,train_psnr,val_loss,val_psnr
1,0.029060734095086443,25.738065376696646,0.022362551571144532,30.43063355594701
2,0.023733695317715197,26.621941229050844,0.021247526167789636,30.9748096025059
3,0.022376672273605434,27.016768069276424,0.020013882504033215,31.4352188551357
4,0.02238180588928462,27.225457524002476,0.020110080890745098,31.437629016148563
5,0.021419098326651544,27.487602302224225,0.020131821534192632,31.39861780508405
6,0.02066388420143325,27.82474346856467,0.019604064265772096,31.69280616672053
7,0.019623592556695563,28.362645561086467,0.01930507130361017,31.809962653011254
8,0.019667053710185445,28.20648005065137,0.018860282214907553,32.032773916431935
9,0.01924468586680146,28.469022353032578,0.0189315246235084,31.977481301809323
10,0.019240806021644796,28.438412666930958,0.019173952627044192,31.905997436170633
11,0.018859544755820655,28.62335942024919,0.018645694705447708,32.07135877443876
12,0.018488205111301333,28.922397415834745,0.018372022929046883,32.23820674212682
13,0.018884075483782736,28.615628216255953,0.018296290576630243,32.22860132338684
14,0.018404204207719783,28.974660669620878,0.01819825329618647,32.29570238852087
15,0.018403063435286228,28.8887890738245,0.018332619499953497,32.182666271408166
16,0.01823520007819147,28.927633882255336,0.01828033952957633,32.227747139903165
17,0.017609518640439286,29.291741044721157,0.018153382088407617,32.27597274118765
18,0.01828560274289784,28.897799789028447,0.01809310372595842,32.30765981067812
19,0.017814062413016498,29.126483419348776,0.01815240567474696,32.26421276820189
20,0.017799907043976656,29.085191759633013,0.018115494830932232,32.2871809060863
